title,journal,year,citation,citation_per_year,author,URL
Brain disease diagnosis using deep learning features from longitudinal MR images,Asia-Pacific Web …,2018,10,2,"['L Gao', 'H Pan', 'F Liu', 'X Xie', 'Z Zhang', 'J Han']",https://www.researchgate.net/profile/Linlin_Gao4/publication/326483871_Brain_Disease_Diagnosis_Using_Deep_Learning_Features_from_Longitudinal_MR_Images_Second_International_Joint_Conference_APWeb-WAIM_2018_Macau_China_July_23-25_2018_Proceedings_Part_I/links/5c4bb3a9458515a4c740ed02/Brain-Disease-Diagnosis-Using-Deep-Learning-Features-from-Longitudinal-MR-Images-Second-International-Joint-Conference-APWeb-WAIM-2018-Macau-China-July-23-25-2018-Proceedings-Part-I.pdf
Deep learning architecture with dynamically programmed layers for brain connectome prediction,Proceedings of the 21th ACM SIGKDD …,2015,17,2,"['V Veeriah', 'R Durvasula', 'GJ Qi']",http://www.cs.ucf.edu/~gqi/publications/kdd2015_DeepAlignment.pdf
Deep ensemble learning of sparse regression models for brain disease diagnosis,Medical image …,2017,152,30,"['HI Suk', 'SW Lee', 'D Shen']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5808465/
Unsupervised deep feature learning for deformable registration of MR brain images,… Conference on Medical …,2013,117,13,"['G Wu', 'M Kim', 'Q Wang', 'Y Gao', 'S Liao']",https://link.springer.com/content/pdf/10.1007/978-3-642-40763-5_80.pdf
Deep learning for damaged tissue detection and segmentation in Ki-67 brain tumor specimens based on the U-net model,Bulletin of the Polish …,2018,12,3,"['Z Swiderska-Chadaj', 'T Markiewicz']",https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-269c3aad-4f97-4363-8f10-3797af9c7c8c/c/10_849-856_00807_Bpast.No.66-6_31.12.18_K2.pdf
Interactive medical image segmentation using deep learning with image-specific fine tuning,IEEE transactions on …,2018,347,86,"['G Wang', 'W Li', 'MA Zuluaga', 'R Pratt']",https://ieeexplore.ieee.org/iel7/42/8400497/08270673.pdf
MRI signatures of brain age and disease over the lifespan based on a deep brain network and 14 468 individuals worldwide,Brain,2020,36,18,"['VM Bashyam', 'G Erus', 'J Doshi', 'M Habes', 'IM Nasrallah']",https://scholars.uthscsa.edu/en/publications/mri-signatures-of-brain-age-and-disease-over-the-lifespan-based-o
Early diagnosis of Alzheimer's disease: A neuroimaging study with deep learning architectures,Proceedings of the IEEE conference on …,2018,20,5,"['J Islam', 'Y Zhang']",http://openaccess.thecvf.com/content_cvpr_2018_workshops/papers/w36/Islam_Early_Diagnosis_of_CVPR_2018_paper.pdf
A modified deep convolutional neural network for abnormal brain image classification,IEEE …,2018,39,9,"['DJ Hemanth', 'J Anitha', 'A Naaji', 'O Geman']",https://ieeexplore.ieee.org/iel7/6287639/8600701/08571163.pdf
The art of changing the brain,Educational Leadership,2004,776,43,['JE Zull'],https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.504.5667&rep=rep1&type=pdf
Deep learning—Using machine learning to study biological vision,Journal of vision,2018,27,6,"['NJ Majaj', 'DG Pelli']",https://iovs.arvojournals.org/article.aspx?articleid=2717771
Multi-classification of brain tumor images using deep neural network,IEEE Access,2019,89,29,"['HH Sultan', 'NM Salem', 'W Al-Atabany']",https://ieeexplore.ieee.org/iel7/6287639/8600701/08723045.pdf
Bayesian Network and Structured Random Forest Cooperative Deep Learning for Automatic Multi-label Brain Tumor Segmentation.,ICAART (2),2018,10,2,"['S Amiri', 'MA Mahjoub', 'I Rekik']",https://www.researchgate.net/profile/Mohamed_Mahjoub2/publication/322872890_Bayesian_Network_and_Structured_Random_Forest_Cooperative_Deep_Learning_for_Automatic_Multi-label_Brain_Tumor_Segmentation/links/5ab3bb670f7e9b4897c6bd31/Bayesian-Network-and-Structured-Random-Forest-Cooperative-Deep-Learning-for-Automatic-Multi-label-Brain-Tumor-Segmentation.pdf
Deep autoencoding models for unsupervised anomaly segmentation in brain MR images,… MICCAI Brainlesion Workshop,2018,190,47,"['C Baur', 'B Wiestler', 'S Albarqouni', 'N Navab']",https://arxiv.org/pdf/1804.04488
18 Independent brain F-FDG PET attenuation correction using a deep learning approach with Generative Adversarial Networks,Hellenic journal of …,2019,16,5,"['M Reimold', 'K Nikolaou']",http://www.nuclmed.gr/wp/wp-content/uploads/2019/11/05.Gatidis.pdf
Deep learning for neuroimaging: a validation study,Frontiers in …,2014,566,70,"['SM Plis', 'DR Hjelm', 'R Salakhutdinov', 'EA Allen']",https://www.frontiersin.org/articles/10.3389/fnins.2014.00229/full
Texture and structure incorporated scatternet hybrid deep learning network (ts-shdl) for brain matter segmentation,Proceedings of the IEEE …,2017,10,2,"['A Singh', 'D Hazarika']",http://openaccess.thecvf.com/content_ICCV_2017_workshops/papers/w18/Singh_Texture_and_Structure_ICCV_2017_paper.pdf
Radnet: Radiologist level accuracy using deep learning for hemorrhage detection in ct scans,2018 IEEE 15th …,2018,103,25,"['M Grewal', 'MM Srivastava', 'P Kumar']",https://arxiv.org/pdf/1710.04934
Brain intelligence: go beyond artificial intelligence,Mobile Networks and Applications,2018,640,160,"['H Lu', 'Y Li', 'M Chen', 'H Kim', 'S Serikawa']",https://arxiv.org/pdf/1706.01040
Using deep belief network modelling to characterize differences in brain morphometry in schizophrenia,Scientific reports,2016,99,16,"['WHL Pinaya', 'A Gadelha', 'OM Doyle', 'C Noto']",https://www.nature.com/articles/srep38897
Voxresnet: Deep voxelwise residual networks for volumetric brain segmentation,arXiv preprint arXiv:1608.05895,2016,116,19,"['H Chen', 'Q Dou', 'L Yu', 'PA Heng']",https://arxiv.org/pdf/1608.05895
Multi-channel 3D deep feature learning for survival time prediction of brain tumor patients using multi-modal neuroimages,Scientific reports,2019,61,20,"['D Nie', 'J Lu', 'H Zhang', 'E Adeli', 'J Wang', 'Z Yu', 'LY Liu']",https://www.nature.com/articles/s41598-018-37387-9
Generative autoencoder kernels on deep learning for brain activity analysis,Natural and Engineering Sciences,2018,13,3,"['G Altan', 'Y Kutlu']",https://dergipark.org.tr/en/download/article-file/551165
Neural network models and deep learning,Current Biology,2019,57,19,"['N Kriegeskorte', 'T Golan']",https://www.sciencedirect.com/science/article/pii/S0960982219302040
Deep into the brain: artificial intelligence in stroke imaging,Journal of stroke,2017,113,22,"['EJ Lee', 'YH Kim', 'N Kim', 'DW Kang']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5647643/
Deep learning networks for off-line handwritten signature recognition,Iberoamerican Congress on …,2011,53,4,"['B Ribeiro', 'I Gonçalves', 'S Santos', 'A Kovacec']",https://link.springer.com/content/pdf/10.1007/978-3-642-25085-9_62.pdf
Deep learning MR imaging–based attenuation correction for PET/MR imaging,Radiology,2018,227,56,"['F Liu', 'H Jang', 'R Kijowski', 'T Bradshaw', 'AB McMillan']",https://pubs.rsna.org/doi/pdf/10.1148/radiol.2017170700
Subject-independent brain–computer interfaces based on deep convolutional neural networks,… networks and learning …,2019,57,19,"['OY Kwon', 'MH Lee', 'C Guan']",https://ieeexplore.ieee.org/iel7/5962385/9212662/08897723.pdf
Structural deep brain network mining,Proceedings of the 23rd …,2017,34,6,"['S Wang', 'L He', 'B Cao', 'CT Lu', 'PS Yu']",https://dl.acm.org/doi/pdf/10.1145/3097983.3097988
Deep learning via stacked sparse autoencoders for automated voxel-wise brain parcellation based on functional connectivity,NA,2014,14,1,['C Gravelines'],https://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=3503&context=etd
DeepSeg: deep neural network framework for automatic brain tumor segmentation using magnetic resonance FLAIR images,International journal of …,2020,22,11,"['RA Zeineldin', 'ME Karar', 'J Coburger', 'CR Wirtz']",https://link.springer.com/article/10.1007/s11548-020-02186-z
Deep learning methods to process fmri data and their application in the diagnosis of cognitive impairment: a brief overview and our opinion,Frontiers in …,2018,175,43,"['D Wen', 'Z Wei', 'Y Zhou', 'G Li', 'X Zhang']",https://www.frontiersin.org/articles/10.3389/fninf.2018.00023/abstract
Accurate brain age prediction with lightweight deep neural networks,Medical image …,2021,30,30,"['H Peng', 'W Gong', 'CF Beckmann', 'A Vedaldi']",https://www.sciencedirect.com/science/article/pii/S1361841520302358
Deep learning for multi-task medical image segmentation in multiple modalities,… Conference on Medical …,2016,205,34,"['P Moeskops', 'JM Wolterink']",https://arxiv.org/pdf/1704.03379
Deep learning with convolutional neural networks for EEG decoding and visualization,Human brain …,2017,889,177,"['RT Schirrmeister', 'JT Springenberg']",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.23730
Classification of non-time-locked rapid serial visual presentation events for brain-computer interaction using deep learning,2014 IEEE China …,2014,12,1,"['Z Mao', 'V Lawhern', 'LM Merino', 'K Ball']",https://apps.dtic.mil/sti/pdfs/AD1008569.pdf
News Feature: What are the limits of deep learning?,Proceedings of the National Academy of …,2019,38,12,['MM Waldrop'],https://www.pnas.org/content/pnas/116/4/1074.full.pdf
Toward an integration of deep learning and neuroscience,Frontiers in computational …,2016,483,80,"['AH Marblestone', 'G Wayne', 'KP Kording']",https://www.frontiersin.org/articles/10.3389/fncom.2016.00094/full?source=post_page---------------------------
Deep recurrent level set for segmenting brain tumors,International Conference on Medical …,2018,21,5,"['THN Le', 'R Gummadi', 'M Savvides']",https://arxiv.org/pdf/1810.04752
M-net: A convolutional neural network for deep brain structure segmentation,2017 IEEE 14th International …,2017,72,14,"['R Mehta', 'J Sivaswamy']",http://cdn.iiit.ac.in/cdn/cvit.iiit.ac.in/images/ConferencePapers/2017/jan_M-NET.pdf
State-of-the-art review on deep learning in medical imaging.,Frontiers in …,2019,56,18,"['M Biswas', 'V Kuppili', 'L Saba', 'DR Edla']",https://www.fbscience.com/Landmark/articles/pdf/Landmark4725.pdf
Automated sub-cortical brain structure segmentation combining spatial and deep convolutional features,Medical image …,2018,64,16,"['K Kushibar', 'S Valverde', 'S González-Villà', 'J Bernal']",https://www.sciencedirect.com/science/article/pii/S1361841518303839
Deep learning of fMRI big data: a novel approach to subject-transfer decoding,arXiv preprint arXiv …,2015,55,7,"['S Koyamada', 'Y Shikauchi', 'K Nakae', 'M Koyama']",https://arxiv.org/pdf/1502.00093
Deep transfer learning for whole-brain FMRI analyses,… Theaters and Machine Learning in …,2019,10,3,"['AW Thomas', 'KR Müller', 'W Samek']",https://arxiv.org/pdf/1907.01953
Random synaptic feedback weights support error backpropagation for deep learning,Nature …,2016,442,73,"['TP Lillicrap', 'D Cownden', 'DB Tweed']",https://www.nature.com/articles/ncomms13276
Assessing the scalability of biologically-motivated deep learning algorithms and architectures,arXiv preprint arXiv …,2018,121,30,"['S Bartunov', 'A Santoro', 'BA Richards', 'L Marris']",https://arxiv.org/pdf/1807.04587
A deep learning method for classification of EEG data based on motor imagery,International Conference on …,2014,163,20,"['X An', 'D Kuang', 'X Guo', 'Y Zhao', 'L He']",https://www.bio.spbu.ru/faculty/departments/vnd/pdf/journal%202015/moskvich.pdf
Reconstructing perceived faces from brain activations with deep adversarial neural decoding,NA,2017,35,7,"['Y Güçlütürk', 'U Güçlü', 'K Seeliger', 'SE Bosch']",https://repository.ubn.ru.nl/bitstream/handle/2066/179505/179505.pdf
A deep learning approach to identify diabetes,Advanced Science and …,2017,11,2,"['S Ramesh', 'RD Caytiles']",https://pdfs.semanticscholar.org/4581/81c62c342a9571026f0a08f4257dbf74bcca.pdf
Development and validation of an interpretable deep learning framework for Alzheimer's disease classification,Brain,2020,28,14,"['S Qiu', 'PS Joshi', 'MI Miller', 'C Xue', 'X Zhou', 'C Karjadi']",https://academic.oup.com/brain/article/143/6/1920/5827821
Development of accurate human head models for personalized electromagnetic dosimetry using deep learning,NeuroImage,2019,10,3,"['EA Rashed', 'J Gomez-Tames', 'A Hirata']",https://arxiv.org/pdf/2002.09080
EEG pathology detection based on deep learning,IEEE Access,2019,30,10,"['M Alhussein', 'G Muhammad', 'MS Hossain']",https://ieeexplore.ieee.org/iel7/6287639/6514899/08651516.pdf
Using deep learning to investigate the neuroimaging correlates of psychiatric and neurological disorders: Methods and applications,Neuroscience & Biobehavioral Reviews,2017,296,59,"['S Vieira', 'WHL Pinaya', 'A Mechelli']",https://www.sciencedirect.com/science/article/pii/S0149763416305176
Identifying connectivity patterns for brain diseases via multi-side-view guided deep architectures,Proceedings of the 2016 …,2016,25,4,"['J Zhang', 'B Cao', 'S Xie', 'CT Lu', 'PS Yu', 'AB Ragin']",https://epubs.siam.org/doi/pdf/10.1137/1.9781611974348.5
Deep learning in neuroradiology,American Journal …,2018,133,33,"['G Zaharchuk', 'E Gong', 'M Wintermark']",http://www.ajnr.org/content/ajnr/39/10/1776.full.pdf
Deep neural network with l2-norm unit for brain lesions detection,International Conference on Neural …,2017,21,4,"['M Rezaei', 'H Yang', 'C Meinel']",https://arxiv.org/pdf/1708.05221
Speak your mind! towards imagined speech recognition with hierarchical deep learning,arXiv preprint arXiv:1904.05746,2019,15,5,"['P Saha', 'M Abdul-Mageed', 'S Fels']",https://arxiv.org/pdf/1904.05746
Deep learning based feature selection for remote sensing scene classification,IEEE Geoscience and Remote …,2015,425,60,"['Q Zou', 'L Ni', 'T Zhang', 'Q Wang']",https://www.researchgate.net/profile/Qin_Zou/publication/283200405_Deep_Learning_Based_Feature_Selection_for_Remote_Sensing_Scene_Classification/links/566eb9d908ae430ab5003451/Deep-Learning-Based-Feature-Selection-for-Remote-Sensing-Scene-Classification.pdf
Deep transfer learning for EEG-based brain computer interface,2018 IEEE International Conference …,2018,20,5,"['C Tan', 'F Sun', 'W Zhang']",https://arxiv.org/pdf/1808.01752
Deep brain stimulation for enhancement of learning and memory,Neuroimage,2014,113,14,"['N Suthana', 'I Fried']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4445933/
Investigating deep learning for fNIRS based BCI,2015 37th Annual …,2015,52,7,"['J Hennrich', 'C Herff', 'D Heger']",https://csl.uni-bremen.de/cms/images/documents/publications/EMBC2015_Hennrich.pdf
Deep neural networks for anatomical brain segmentation,… of the IEEE conference on computer …,2015,306,43,"['A de Brebisson', 'G Montana']",https://www.cv-foundation.org/openaccess/content_cvpr_workshops_2015/W01/papers/Brebisson_Deep_Neural_Networks_2015_CVPR_paper.pdf
Applications of deep learning and reinforcement learning to biological data,… networks and learning …,2018,333,83,"['M Mahmud', 'MS Kaiser', 'A Hussain']",https://arxiv.org/pdf/1711.03985
A deep learning approach for Parkinson's disease diagnosis from EEG signals,Neural Computing and …,2018,193,48,"['SL Oh', 'Y Hagiwara', 'U Raghavendra', 'R Yuvaraj']",https://www.researchgate.net/profile/Yuki-Hagiwara/publication/327261283_A_Deep_Learning_Approach_for_Parkinson%27s_Disease_Diagnosis_from_EEG_Signals/links/5b84e67b299bf1d5a72c8a02/A-Deep-Learning-Approach-for-Parkinsons-Disease-Diagnosis-from-EEG-Signals.pdf
Decoding EEG and LFP signals using deep learning: heading TrueNorth,Proceedings of the …,2016,83,13,"['E Nurse', 'BS Mashford', 'AJ Yepes']",https://dl.acm.org/doi/pdf/10.1145/2903150.2903159
Fastsurfer-a fast and accurate deep learning based neuroimaging pipeline,NeuroImage,2020,39,19,"['L Henschel', 'S Conjeti', 'S Estrada', 'K Diers', 'B Fischl']",https://www.sciencedirect.com/science/article/pii/S1053811920304985
A deep learning scheme for motor imagery classification based on restricted Boltzmann machines,IEEE transactions on neural …,2016,247,41,"['N Lu', 'T Li', 'X Ren', 'H Miao']",https://www.researchgate.net/profile/Na_Lu10/publication/306271673_A_Deep_Learning_Scheme_for_Motor_Imagery_Classification_based_on_Restricted_Boltzmann_Machines/links/5f62ded74585154dbbd74658/A-Deep-Learning-Scheme-for-Motor-Imagery-Classification-based-on-Restricted-Boltzmann-Machines.pdf
Predicting severity of Parkinson's disease using deep learning,Procedia computer science,2018,65,16,"['S Grover', 'S Bhartia', 'A Yadav', 'KR Seeja']",https://www.sciencedirect.com/science/article/pii/S1877050918308883/pdf?md5=1cb9104bcdc44ef930974ca00bfdfd5c&pid=1-s2.0-S1877050918308883-main.pdf
Single subject prediction of brain disorders in neuroimaging: Promises and pitfalls,Neuroimage,2017,502,100,"['MR Arbabshirani', 'S Plis', 'J Sui', 'VD Calhoun']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5031516/
Epileptic seizures prediction using deep learning techniques,Ieee Access,2020,16,8,"['SM Usman', 'S Khalid', 'MH Aslam']",https://ieeexplore.ieee.org/iel7/6287639/8948470/09016244.pdf
"WearableDL: Wearable Internet-of-Things and Deep Learning for Big Data Analytics—Concept, Literature, and Future",Mobile Information Systems,2018,12,3,"['AR Dargazany', 'P Stegagno']",https://www.hindawi.com/journals/MISY/2018/8125126/
Unsupervised lesion detection in brain CT using bayesian convolutional autoencoders,… with Deep Learning,2018,32,8,"['N Pawlowski', 'MC Lee', 'M Rajchl']",https://openreview.net/references/pdf?id=S1hpzoisz
Deep learning–based detection of intracranial aneurysms in 3D TOF-MRA,American Journal …,2019,34,11,"['T Sichtermann', 'A Faron', 'R Sijben']",http://www.ajnr.org/content/ajnr/40/1/25.full.pdf
ICHNet: Intracerebral Hemorrhage (ICH) segmentation using deep learning,International MICCAI …,2018,10,2,"['M Islam', 'P Sanghani', 'AAQ See', 'ML James']",https://www.researchgate.net/profile/Mobarakol_Islam2/publication/330644957_ICHNet_Intracerebral_Hemorrhage_ICH_Segmentation_Using_Deep_Learning_4th_International_Workshop_BrainLes_2018_Held_in_Conjunction_with_MICCAI_2018_Granada_Spain_September_16_2018_Revised_Selected_Pape/links/5d1abc21a6fdcc2462b73a8d/ICHNet-Intracerebral-Hemorrhage-ICH-Segmentation-Using-Deep-Learning-4th-International-Workshop-BrainLes-2018-Held-in-Conjunction-with-MICCAI-2018-Granada-Spain-September-16-2018-Revised-Select.pdf
Brain tumor segmentation with deep neural networks,Medical image …,2017,1985,397,"['M Havaei', 'A Davy', 'D Warde-Farley', 'A Biard']",https://arxiv.org/pdf/1505.03540
Adversarial training and dilated convolutions for brain MRI segmentation,Deep learning in …,2017,110,22,"['P Moeskops', 'M Veta', 'MW Lafarge']",https://arxiv.org/pdf/1707.03195
Brain CT image classification with deep neural networks,Proceedings of the 18th Asia Pacific Symposium …,2015,14,2,"['C Da', 'H Zhang', 'Y Sang']",https://www.researchgate.net/profile/Cheng_Da3/publication/312769285_Brain_CT_Image_Classification_with_Deep_Neural_Networks/links/5ca83a054585157bd3254290/Brain-CT-Image-Classification-with-Deep-Neural-Networks.pdf
Towards deep learning with segregated dendrites,ELife,2017,224,44,"['J Guerguiev', 'TP Lillicrap', 'BA Richards']",https://elifesciences.org/articles/22901.pdf
A review of classification algorithms for EEG-based brain–computer interfaces: a 10 year update,Journal of neural …,2018,758,189,"['F Lotte', 'L Bougrain', 'A Cichocki', 'M Clerc']",https://hal.inria.fr/hal-01846433/document
FiberNET: An ensemble deep learning framework for clustering white matter fibers,… Conference on Medical …,2017,23,4,"['V Gupta', 'SI Thomopoulos', 'FM Rashid']",https://www.biorxiv.org/content/biorxiv/early/2017/05/23/141036.full.pdf
Classification of alzheimer's disease using fmri data and deep learning convolutional neural networks,arXiv preprint arXiv:1603.08631,2016,124,20,"['S Sarraf', 'G Tofighi']",https://arxiv.org/pdf/1603.08631
Measuring Calibration in Deep Learning.,CVPR …,2019,54,18,"['J Nixon', 'MW Dusenberry', 'L Zhang']",http://openaccess.thecvf.com/content_CVPRW_2019/papers/Uncertainty%20and%20Robustness%20in%20Deep%20Visual%20Learning/Nixon_Measuring_Calibration_in_Deep_Learning_CVPRW_2019_paper.pdf
Unpaired brain MR-to-CT synthesis using a structure-constrained CycleGAN,Deep Learning in …,2018,56,14,"['H Yang', 'J Sun', 'A Carass', 'C Zhao', 'J Lee', 'Z Xu']",https://arxiv.org/pdf/1809.04536
DeepNeuron: an open deep learning toolbox for neuron tracing,Brain …,2018,25,6,"['Z Zhou', 'HC Kuo', 'H Peng']",https://braininformatics.springeropen.com/articles/10.1186/s40708-018-0081-2
Deep learning without weight transport,arXiv preprint arXiv …,2019,40,13,"['M Akrout', 'C Wilson', 'PC Humphreys', 'T Lillicrap']",https://arxiv.org/pdf/1904.05391
Deep MRI brain extraction: A 3D convolutional neural network for skull stripping,NeuroImage,2016,325,54,"['J Kleesiek', 'G Urban', 'A Hubert', 'D Schwarz']",http://129.206.117.249/sites/default/files/publications/files/1721812507/kleesiek_16_deep.pdf
Fusing unsupervised and supervised deep learning for white matter lesion segmentation,… with Deep Learning,2019,18,6,"['C Baur', 'B Wiestler', 'S Albarqouni']",http://proceedings.mlr.press/v102/baur19a/baur19a.pdf
Deep learning enabled automatic abnormal EEG identification,2018 40th Annual International …,2018,21,5,"['S Roy', 'I Kiral-Kornek', 'S Harrer']",https://ieeexplore.ieee.org/iel7/8471725/8512178/08512756.pdf
Improving the accuracy of simultaneously reconstructed activity and attenuation maps using deep learning,Journal of Nuclear …,2018,79,19,"['D Hwang', 'KY Kim', 'SK Kang', 'S Seo']",https://jnm.snmjournals.org/content/59/10/1624.full.pdf
A deep convolutional neural network-based automatic delineation strategy for multiple brain metastases stereotactic radiosurgery,PloS one,2017,81,16,"['Y Liu', 'S Stojadinovic', 'B Hrycushko', 'Z Wardak', 'S Lau']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185844
Deep learning with edge computing for localization of epileptogenicity using multimodal rs-fMRI and EEG big data,2017 IEEE …,2017,56,11,"['MP Hosseini', 'TX Tran', 'D Pompili']",https://www.researchwithrutgers.com/en/publications/deep-learning-with-edge-computing-for-localization-of-epileptogen
Improving brain computer interface performance by data augmentation with conditional deep convolutional generative adversarial networks,arXiv preprint arXiv:1806.07108,2018,32,8,"['Q Zhang', 'Y Liu']",https://arxiv.org/pdf/1806.07108
Identifying Schizophrenia Using Structural MRI With a Deep Learning Algorithm,Frontiers in psychiatry,2020,11,5,"['J Oh', 'BL Oh', 'KU Lee', 'JH Chae', 'K Yun']",https://www.frontiersin.org/articles/10.3389/fpsyt.2020.00016/full?report=reader
On the origin of deep learning,arXiv preprint arXiv:1702.07800,2017,161,32,"['H Wang', 'B Raj']",https://arxiv.org/pdf/1702.07800
Brain MRI analysis for Alzheimer's disease diagnosis using an ensemble system of deep convolutional neural networks,Brain informatics,2018,97,24,"['J Islam', 'Y Zhang']",https://link.springer.com/article/10.1186/s40708-018-0080-3
A novel deep learning approach with data augmentation to classify motor imagery signals,IEEE …,2019,65,21,"['Z Zhang', 'F Duan', 'J Sole-Casals']",https://ieeexplore.ieee.org/iel7/6287639/6514899/08630915.pdf
The present and future of deep learning in radiology,European journal of …,2019,106,35,"['L Saba', 'M Biswas', 'V Kuppili', 'EC Godia', 'HS Suri']",https://repositori.upf.edu/bitstream/handle/10230/43267/saba-ejr-thep.pdf?sequence=1&isAllowed=y
Cloud-based deep learning of big EEG data for epileptic seizure prediction,2016 IEEE global …,2016,85,14,"['MP Hosseini', 'H Soltanian-Zadeh']",https://arxiv.org/pdf/1702.05192
Converting your thoughts to texts: Enabling brain typing via deep feature learning of eeg signals,2018 IEEE …,2018,57,14,"['X Zhang', 'L Yao', 'QZ Sheng', 'SS Kanhere']",https://arxiv.org/pdf/1709.08820
A customized VGG19 network with concatenation of deep and handcrafted features for brain tumor detection,Applied Sciences,2020,13,6,"['V Rajinikanth', 'AN Joseph Raj', 'KP Thanaraj', 'GR Naik']",https://www.mdpi.com/2076-3417/10/10/3429/pdf
Deep learning-based pipeline to recognize Alzheimer's disease using fMRI data,2016 Future Technologies Conference …,2016,120,20,"['S Sarraf', 'G Tofighi']",https://www.biorxiv.org/content/biorxiv/early/2016/07/31/066910.full.pdf
Deep learning in radiology: An overview of the concepts and a survey of the state of the art with focus on MRI,Journal of magnetic …,2019,129,43,"['MA Mazurowski', 'M Buda', 'A Saha']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6483404/
Survey on evolving deep learning neural network architectures,Journal of Artificial Intelligence,2019,130,43,['A Bashar'],https://www.researchgate.net/profile/Abul_Bashar7/publication/338820955_SURVEY_ON_EVOLVING_DEEP_LEARNING_NEURAL_NETWORK_ARCHITECTURES/links/5f1ec75a92851cd5fa4b2f33/SURVEY-ON-EVOLVING-DEEP-LEARNING-NEURAL-NETWORK-ARCHITECTURES.pdf
Deep learning‐guided joint attenuation and scatter correction in multitracer neuroimaging studies,Human brain …,2020,19,9,"['H Arabi', 'K Bortolin', 'N Ginovart']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.25039
Deep learning and medical diagnosis: A review of literature,Multimodal Technologies and Interaction,2018,113,28,"['M Bakator', 'D Radosav']",https://www.mdpi.com/2414-4088/2/3/47/pdf
A deep learning method for classification of images RSVP events with EEG data,2013 IEEE Global …,2013,31,3,"['S Ahmed', 'LM Merino', 'Z Mao', 'J Meng']",https://www.researchgate.net/profile/Lenis-Merino/publication/271554308_A_Deep_Learning_method_for_classification_of_images_RSVP_events_with_EEG_data/links/555f964c08ae9963a118b4a9/A-Deep-Learning-method-for-classification-of-images-RSVP-events-with-EEG-data.pdf
MR‐based treatment planning in radiation therapy using a deep learning approach,Journal of applied …,2019,23,7,"['F Liu', 'P Yadav', 'AM Baschnagel']",https://aapm.onlinelibrary.wiley.com/doi/pdf/10.1002/acm2.12554
Error forward-propagation: Reusing feedforward connections to propagate errors in deep learning,arXiv preprint arXiv:1808.03357,2018,10,2,"['AA Kohan', 'EA Rietman', 'HT Siegelmann']",https://arxiv.org/pdf/1808.03357
Deep learning multi-view representation for face recognition,arXiv preprint arXiv:1406.6947,2014,32,4,"['Z Zhu', 'P Luo', 'X Wang', 'X Tang']",https://arxiv.org/pdf/1406.6947
Artificial muscle intelligence system with deep learning for post-stroke assistance and rehabilitation,IEEE …,2019,24,8,"['S Jacob', 'VG Menon', 'F Al-Turjman', 'PG Vinoj']",https://ieeexplore.ieee.org/iel7/6287639/8600701/08839118.pdf
Automatic semantic segmentation of brain gliomas from MRI images using a deep cascaded neural network,Journal of healthcare …,2018,75,18,"['S Cui', 'L Mao', 'J Jiang', 'C Liu', 'S Xiong']",https://www.hindawi.com/journals/jhe/2018/4940593/abs/
DeepQSM-using deep learning to solve the dipole inversion for quantitative susceptibility mapping,NeuroImage,2019,46,15,"['S Bollmann', 'KGB Rasmussen', 'M Kristensen']",https://vbn.aau.dk/ws/files/300737701/1_s2.0_S1053811919302605_main.pdf
Deep convolutional neural networks for automated segmentation of brain metastases trained on clinical data,Radiation …,2020,10,5,"['K Bousabarah', 'M Ruge', 'JS Brand', 'M Hoevels']",https://link.springer.com/content/pdf/10.1186/s13014-020-01514-6.pdf
Fully automated detection and segmentation of meningiomas using deep learning on routine multiparametric MRI,European …,2019,67,22,"['KR Laukamp', 'F Thiele', 'G Shakirin', 'D Zopfs']",https://link.springer.com/content/pdf/10.1007/s00330-018-5595-8.pdf
Deep learning,NA,2017,1032,206,"['Y Bengio', 'I Goodfellow', 'A Courville']",https://www.academia.edu/download/62266271/Deep_Learning20200303-80130-1s42zvt.pdf
Generalised dice overlap as a deep learning loss function for highly unbalanced segmentations,Deep learning in …,2017,738,147,"['CH Sudre', 'W Li', 'T Vercauteren', 'S Ourselin']",https://arxiv.org/pdf/1707.03237
A deep learning framework for decoding motor imagery tasks of the same hand using eeg signals,IEEE Access,2019,14,4,"['R Alazrai', 'M Abuhijleh', 'H Alwanni', 'MI Daoud']",https://ieeexplore.ieee.org/iel7/6287639/8600701/08792041.pdf
Intracranial error detection via deep learning,"… on Systems, Man …",2018,10,2,"['M Volker', 'J Hammer', 'RT Schirrmeister']",https://arxiv.org/pdf/1805.01667
Applications of deep learning to MRI images: A survey,Big Data Mining and …,2018,135,33,"['J Liu', 'Y Pan', 'M Li', 'Z Chen', 'L Tang']",https://ieeexplore.ieee.org/iel7/8254253/8268729/08268732.pdf
